"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"Tmem151b",164.802267975589,0.114404675604249,0.213885144193862,0.534888367471445,0.592727052578109,0.816786751380315,0
"Snx4",8701.80170089186,-0.0628592614149597,0.117538256617097,-0.534798313537487,0.592789329361913,0.816792870891671,0
"Ssb",16164.9413762998,0.0689182639046923,0.128938696143046,0.534504116810933,0.59299280196461,0.817013271951681,0
"Gapvd1",14491.8706746725,0.0541801436292646,0.101406719706229,0.534285536365067,0.593143997487179,0.817101662104467,0
"Sdhaf2",7231.5241399918,-0.0681151647890785,0.127479734290142,-0.534321515246097,0.593119109116666,0.817101662104467,0
"Glyctk",286.939428331576,-0.126526018292341,0.236847686585934,-0.534208377190266,0.593197373915703,0.817115238097383,0
"Hectd3",5659.37109453929,-0.0569394708155173,0.106607071184767,-0.534105947970673,0.593268234810665,0.817152894767092,0
"Lrp1b",589.176615981101,-0.102142018228792,0.191343890107378,-0.533813847787208,0.593470332036178,0.81718493356878,0
"Lncpint",41.8674803208255,0.213204007406049,0.399439618117791,0.533757789001233,0.593509121392484,0.81718493356878,0
"Atp2b2",45.2446311403893,-0.212890678858357,0.398813713237042,-0.533809825972111,0.593473114855131,0.81718493356878,0
"Dda1",8584.05219938856,0.0633959496422006,0.118729079458092,0.533954696958446,0.593372877882481,0.81718493356878,0
"Trappc10",17255.4584730919,-0.0660836701636034,0.123778214935123,-0.533887729745017,0.593419211874657,0.81718493356878,0
"Fam133b",2159.75218941571,-0.0717075849266194,0.134402545207667,-0.533528474597138,0.593667805448342,0.817237884918282,0
"Ptpn5",17.9469922815535,-0.386918622864116,0.725057677727154,-0.533638405260384,0.593591731730922,0.817237884918282,0
"Slf2",99427.2885605794,0.058456306193389,0.109568558899835,0.533513507710076,0.593678163110543,0.817237884918282,0
"AI182371",127.947822797876,-0.175013907072301,0.32847916256473,-0.532800637050495,0.594171592812655,0.817373933310612,0
"Gm42344",31.5991869894004,0.2372129540611,0.445050091171821,0.533002820955539,0.594031627556152,0.817373933310612,0
"Ache",159.712034711729,-0.202646281413357,0.380376823370518,-0.532751390102344,0.594205687136224,0.817373933310612,0
"Ttc12",5743.06084766165,-0.0638457808051688,0.119796979475855,-0.532949838005196,0.594068304448979,0.817373933310612,0
"Tmem26",32.5472562255285,-0.337486339604348,0.63356432288668,-0.532678888966907,0.594255882273761,0.817373933310612,0
"Gm38560",25.4311981739434,-0.26291471950988,0.493373753478382,-0.532891580989624,0.594108633453698,0.817373933310612,0
"Nacad",1552.81718924643,-0.0957647267912142,0.179617246043285,-0.533159977122334,0.593922843937247,0.817373933310612,0
"Rhoj",5638.57087165331,-0.0752390828921798,0.141120198641057,-0.533156016053751,0.59392558567999,0.817373933310612,0
"Cyyr1",23.4087149187128,0.297985340154429,0.55939601334537,0.532691211673783,0.59424735068488,0.817373933310612,0
"Zfp407",2204.38208142855,0.0776851774146341,0.145755737478278,0.532981951576428,0.594046074041778,0.817373933310612,0
"Ar",704.019789942428,-0.0881092542364127,0.165354158330697,-0.532851759676948,0.594136200878148,0.817373933310612,0
"Tusc3",12118.8814592115,-0.0552823657075762,0.103852350046017,-0.532316945000095,0.594506498061362,0.81754658228549,0
"Pou4f1",15.7371971205369,-0.405203940330855,0.761142247302023,-0.532362960756887,0.594474633335954,0.81754658228549,0
"E330033B04Rik",286.413550389282,-0.103071424345156,0.193630832154261,-0.532308946867725,0.594512036641481,0.81754658228549,0
"Gm30599",7.4338811752848,0.490967434703465,0.922541024060622,0.532190354573547,0.594594162695647,0.81759963414463,0
"Gtpbp8",1958.31995550657,-0.0587825082762178,0.110491076763628,-0.532011362347119,0.594718125971806,0.817710202498767,0
"Cpt1a",17401.6223178881,-0.0943089597291831,0.177307906659954,-0.531893706861315,0.594799616161379,0.817762360385902,0
"Hook1",895.476338316052,-0.0753682378511312,0.141720993203762,-0.531807152542102,0.594859568410175,0.817784901288793,0
"Sfrp5",28.5130352912098,-0.342481489589489,0.644125788485092,-0.531699701691754,0.594933998577194,0.817827340993323,0
"Naxd",8764.48962577213,-0.0646117095389729,0.121587165980003,-0.531402381313826,0.595139971694307,0.817870953634945,0
"Nf2",12733.893842976,0.0542003116154962,0.101991685145246,0.531418924379078,0.595128510384456,0.817870953634945,0
"Gm36572",367.92628903164,-0.117273510762255,0.220643851880216,-0.531505907655751,0.595068248586172,0.817870953634945,0
"6230400D17Rik",95.1230836183849,0.139774565454787,0.262981648305749,0.531499313185084,0.595072817121494,0.817870953634945,0
"Med9",3718.82106095277,-0.0602529913168345,0.113398986609742,-0.531336241338672,0.595185795572199,0.817874062202154,0
"Spag4",367.650252717376,-0.10310779232419,0.194248967345845,-0.53080226748704,0.595555808606594,0.817901211658663,0
"Mdfic",8519.78422435235,0.0738210994646584,0.139011095200956,0.531044657679604,0.595387833200282,0.817901211658663,0
"Adamts9",3945.5495623385,0.104825212131969,0.197389051732826,0.531058897196863,0.595377965945695,0.817901211658663,0
"Gm38499",29.2798285213118,0.2513654882401,0.473262253733293,0.531133607756002,0.59532619658569,0.817901211658663,0
"Gm39099",97.1827132174987,-0.202757874086772,0.381910581484528,-0.53090404905418,0.595485271766519,0.817901211658663,0
"Gm23567",14.6915569358587,0.406348323961086,0.76538904960895,0.530904282166953,0.595485110218671,0.817901211658663,0
"Bcdin3d",260.837805794479,0.0991181126636115,0.186753874670013,0.530741934210196,0.595597622678947,0.817901211658663,0
"Gm52261",182.880421957973,-0.175058865106315,0.329778535142063,-0.530837657553735,0.59553128208834,0.817901211658663,0
"Tcirg1",25911.6139202721,-0.0659624226598055,0.124228371990176,-0.530977115799453,0.595434637272786,0.817901211658663,0
"Sgo2a",377.031620869092,0.096663279948057,0.182569667081471,0.529459693350491,0.596486598164328,0.818143788339253,0
