ROI,Area,Mean,Min,Max,MinThr,MaxThr
0005-0077-0870,387.581,40561.183,8688,57376,0,65535
0005-0078-0876,289.519,10005.783,5312,13040,0,65535
0005-0079-0885,262.774,21556.95,3440,41952,0,65535
0005-0080-0910,475.031,8536.129,4736,11008,0,65535
0005-0081-0912,297.584,7655.498,3920,12688,0,65535
0005-0082-0921,294.825,18363.22,6976,32608,0,65535
0005-0083-0914,127.354,28279.893,2656,46224,0,65535
0005-0084-0926,290.155,15250.446,3968,25504,0,65535
0005-0085-0920,177.022,8004.662,3056,11680,0,65535
0005-0086-0933,250.676,8091.163,1744,12224,0,65535
0005-0087-0928,313.504,10216.298,1520,13776,0,65535
0005-0088-0948,257.043,9342.811,3584,14080,0,65535
0005-0089-0969,338.975,8232.917,3408,12432,0,65535
0005-0090-0970,256.407,9482.954,1888,19072,0,65535
0005-0091-0972,225.417,10618.471,1184,19376,0,65535
0005-0092-0982,385.034,15843.025,3872,22704,0,65535
0005-0093-0984,361.262,9166.609,3600,13504,0,65535
0005-0094-0999,180.206,11656.386,1008,23072,0,65535
0005-0095-1009,286.759,22436.536,3568,37200,0,65535
0005-0096-1017,219.898,10367.969,1184,18976,0,65535
0005-0097-1029,121.836,11075.596,7696,13312,0,65535
0006-0001-0014,129.052,9699.368,3072,14064,0,65535
0006-0002-0008,108.888,9427.057,5744,12688,0,65535
0006-0003-0015,211.196,8559.55,4816,12000,0,65535
0006-0004-0032,294.188,14081.732,6352,21904,0,65535
0006-0005-0027,147.094,18783.746,1296,35232,0,65535
0006-0006-0038,190.395,46992.803,13344,65520,0,65535
0006-0007-0069,303.528,15305.768,1984,25520,0,65535
0006-0008-0064,127.566,25689.531,1984,47248,0,65535
0006-0009-0085,371.874,19018.146,1344,35104,0,65535
0006-0010-0102,241.336,12807.022,5520,19808,0,65535
0006-0011-0109,281.665,16961.471,2576,25760,0,65535
0006-0012-0106,128.203,14409.854,1120,33824,0,65535
0006-0013-0136,254.072,12227.088,4288,26128,0,65535
0006-0014-0142,216.078,13542.538,2240,26032,0,65535
0006-0015-0141,220.111,18810.677,8000,28112,0,65535
0006-0016-0148,257.892,19138.858,11504,26896,0,65535
0006-0017-0158,268.505,12118.172,6096,17120,0,65535
0006-0018-0158,248.553,10260.564,2032,16384,0,65535
0006-0019-0169,160.254,27401.155,7888,44288,0,65535
0006-0020-0171,298.646,12601.882,5936,18512,0,65535
0006-0021-0175,257.892,17386.482,7664,33456,0,65535
0006-0022-0177,215.441,13812.824,4112,22448,0,65535
0006-0023-0195,236.454,13120.503,6304,19072,0,65535
0006-0024-0219,222.021,11848.489,1248,21776,0,65535
0006-0025-0225,263.623,10019.002,5328,14096,0,65535
0006-0026-0243,311.381,13975.995,5824,20832,0,65535
0006-0027-0247,279.543,9288.273,4192,15328,0,65535
0006-0028-0256,296.099,10715.183,4496,18544,0,65535
0006-0029-0261,201.007,10644.612,2304,22336,0,65535
0006-0030-0283,318.81,13748.751,4192,29232,0,65535
0006-0031-0275,110.798,9156.291,4288,12752,0,65535
0006-0032-0299,348.951,10915.367,5536,20400,0,65535
0006-0033-0313,271.265,7281.853,3920,13680,0,65535
0006-0034-0329,276.571,12211.315,5040,19248,0,65535
0006-0035-0325,238.789,12172.046,4000,18688,0,65535
0006-0036-0328,195.489,14969.433,2368,29328,0,65535
0006-0037-0356,382.487,15899.845,4176,34496,0,65535
0006-0038-0354,174.263,8486.568,2416,14144,0,65535
0006-0039-0360,242.185,11538.202,3728,18128,0,65535
0006-0040-0364,237.516,12947.217,5072,21568,0,65535
0006-0041-0381,738.23,18192.396,7616,29776,0,65535
0006-0042-0385,258.529,8397.622,3488,12352,0,65535
0006-0043-0395,384.185,11028.358,4704,16928,0,65535
0006-0044-0404,325.602,24152.511,11904,35856,0,65535
0006-0045-0457,527.247,11723.62,1648,24960,0,65535
0006-0046-0442,278.906,14501.772,5952,22064,0,65535
0006-0047-0445,269.779,11954.379,5072,19024,0,65535
0006-0048-0450,267.868,16453.971,5232,23712,0,65535
0006-0049-0461,443.83,16328.93,8336,25088,0,65535
0006-0050-0508,307.348,11241.436,4720,18368,0,65535
0006-0051-0518,343.007,18713.426,6272,33184,0,65535
0006-0052-0513,222.658,28903.504,13488,52560,0,65535
0006-0053-0527,361.262,12645.65,2688,25648,0,65535
0006-0054-0531,299.495,11031.631,3312,18480,0,65535
0006-0055-0568,603.235,12884.662,4624,20448,0,65535
0006-0056-0602,283.788,20016.957,2272,32784,0,65535
0006-0057-0612,180.418,15855.962,7360,24560,0,65535
0006-0058-0628,346.828,17531.3,8800,27024,0,65535
0006-0059-0638,110.586,7567.693,3024,12144,0,65535
0006-0060-0639,351.498,13437.469,5440,20624,0,65535
0006-0061-0634,213.955,14324.571,5328,21632,0,65535
0006-0062-0647,236.03,12021.914,4688,18032,0,65535
0006-0063-0650,257.468,13227.317,3920,22192,0,65535
0006-0064-0658,273.812,9904.223,2880,16848,0,65535
0006-0065-0670,470.786,17882.864,7936,25248,0,65535
0006-0066-0665,223.294,9699.833,4624,14624,0,65535
0006-0067-0707,469.3,20319.877,3792,39984,0,65535
0006-0068-0703,234.332,9736.043,5152,16016,0,65535
0006-0069-0737,413.477,9959.63,3712,18304,0,65535
0006-0070-0746,250.463,8815.417,2848,13648,0,65535
0006-0071-0749,426.637,11930.094,6128,16016,0,65535
0006-0072-0765,172.565,25542.258,2864,38208,0,65535
0006-0073-0770,238.152,22252.121,2384,33056,0,65535
