ROI,Area,Mean,Min,Max,MinThr,MaxThr
0008-0011-0601,521.728,1.611,0,1971,0,65535
0008-0012-0646,375.483,0.633,0,594,0,65535
0008-0013-0672,314.141,2.878,0,1730,0,65535
0008-0014-0773,104.855,0,0,0,0,65535
0008-0015-0833,378.879,146.78,0,4623,0,65535
0008-0016-0887,992.09,0,0,0,0,65535
0008-0017-0950,410.081,14.296,0,12371,0,65535
0009-0001-0017,205.889,0,0,0,0,65535
0009-0002-0030,324.541,0,0,0,0,65535
0009-0003-0088,503.474,17.145,0,3314,0,65535
0009-0004-0077,133.51,0,0,0,0,65535
0009-0005-0280,480.338,0,0,0,0,65535
0009-0006-0298,385.884,8.749,0,2866,0,65535
0009-0007-0369,534.676,0.003,0,8,0,65535
0009-0008-0447,421.967,0,0,0,0,65535
0009-0009-0500,268.293,19.388,0,4519,0,65535
0009-0010-0513,336.428,2.9,0,3658,0,65535
0009-0011-0716,339.824,0,0,0,0,65535
0009-0012-0805,301.193,6.155,0,3348,0,65535
0009-0013-0848,310.32,0,0,0,0,65535
0009-0014-0861,332.819,0.027,0,43,0,65535
0009-0015-0929,771.767,0,0,0,0,65535
0009-0016-0963,488.616,0,0,0,0,65535
0009-0017-0991,222.446,0,0,0,0,65535
0010-0001-0195,241.549,0.431,0,490,0,65535
0010-0002-0222,477.154,2.709,0,1282,0,65535
0010-0003-0287,397.982,22.895,0,2763,0,65535
0010-0004-0291,455.292,0.866,0,1213,0,65535
0010-0005-0319,501.351,0,0,0,0,65535
0010-0006-0376,767.522,0,0,0,0,65535
0010-0007-0442,338.338,0,0,0,0,65535
0010-0008-0444,274.236,0.732,0,938,0,65535
0010-0009-0466,313.504,0.169,0,249,0,65535
0010-0010-0478,293.552,0,0,0,0,65535
0010-0011-0478,193.579,0,0,0,0,65535
0010-0012-0502,131.599,0,0,0,0,65535
0010-0013-0541,263.623,0,0,0,0,65535
0010-0014-0595,268.93,0.006,0,8,0,65535
0010-0015-0658,766.461,2.887,0,1833,0,65535
0010-0016-0639,254.284,0,0,0,0,65535
0010-0017-0703,215.441,0,0,0,0,65535
0010-0018-0748,506.233,0,0,0,0,65535
0010-0019-0759,340.036,31.175,0,5415,0,65535
